label, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y
12, 0.403618, 0.307401, 0.520746, 0.625101, 0.156327, 0.133883, 0.543003, 0.405203, 0.490135, 0.07143, 0.570702, 0.758313, 0.213895, 0.376113, 0.723297, 0.569665, 0.0982334, 0.347862, 0.339573, 0.40681, 0.574404, 0.603133, 0.843941, 0.542547, 
12, 0.39584, 0.350233, 0.483795, 0.662661, 0.112106, 0.168473, 0.569029, 0.461177, 0.505453, 0.0659587, 0.452361, 0.768934, 0.179509, 0.449503, 0.696039, 0.594537, 0.0706763, 0.404056, 0.304141, 0.501548, 0.565824, 0.621259, 0.825616, 0.567946, 
13, 0.375933, 0.409733, 0.658097, 0.819864, 0.35048, 0.239008, 0.395312, 0.539713, 0.680979, 0.0867117, 0.637501, 0.881766, 0.362316, 0.568155, 0.788254, 0.784568, 0.232022, 0.541719, 0.461621, 0.588304, 0.656414, 0.762767, 0.904801, 0.803839, 
13, 0.482708, 0.446888, 0.591247, 0.7482, 0.304059, 0.228353, 0.57359, 0.558061, 0.666769, 0.0547489, 0.503563, 0.821245, 0.354279, 0.592555, 0.794901, 0.677825, 0.220344, 0.527753, 0.463712, 0.645501, 0.687324, 0.703085, 0.886775, 0.656252, 
13, 0.485867, 0.41812, 0.614818, 0.724562, 0.369774, 0.242671, 0.563479, 0.535414, 0.645424, 0.0645936, 0.581136, 0.789768, 0.381841, 0.550303, 0.804545, 0.668047, 0.249013, 0.538045, 0.48496, 0.559819, 0.686673, 0.673095, 0.908776, 0.663582, 
13, 0.475614, 0.390221, 0.515757, 0.699641, 0.356935, 0.234559, 0.547689, 0.484754, 0.561937, 0.0753183, 0.450914, 0.790998, 0.317616, 0.52143, 0.700998, 0.602269, 0.19293, 0.449896, 0.408458, 0.573547, 0.571221, 0.639541, 0.841727, 0.561853, 
13, 0.415124, 0.423245, 0.611341, 0.777765, 0.346508, 0.192898, 0.451538, 0.545485, 0.622191, 0.0706693, 0.600267, 0.848977, 0.360168, 0.552208, 0.748118, 0.741728, 0.221014, 0.499321, 0.450277, 0.586455, 0.620714, 0.763123, 0.863203, 0.7224, 
13, 0.478796, 0.386599, 0.605168, 0.702658, 0.344497, 0.230628, 0.573195, 0.496232, 0.672534, 0.0695896, 0.518679, 0.790551, 0.363098, 0.517302, 0.782786, 0.623373, 0.231985, 0.478707, 0.471601, 0.549241, 0.66372, 0.644914, 0.899956, 0.602176, 
13, 0.500696, 0.42931, 0.578885, 0.753546, 0.324386, 0.24198, 0.599796, 0.534604, 0.656095, 0.0745663, 0.479174, 0.836614, 0.344917, 0.564548, 0.768434, 0.669281, 0.21438, 0.524419, 0.462655, 0.600743, 0.647281, 0.709802, 0.896569, 0.626425, 
13, 0.360623, 0.387729, 0.610915, 0.761445, 0.381184, 0.175796, 0.347322, 0.524828, 0.673503, 0.0747047, 0.531759, 0.836667, 0.357026, 0.578479, 0.739677, 0.692698, 0.230159, 0.508491, 0.44705, 0.628143, 0.625137, 0.681326, 0.873081, 0.705942, 
13, 0.340552, 0.346032, 0.657875, 0.823141, 0.326667, 0.15068, 0.350974, 0.492668, 0.661309, 0.114217, 0.654728, 0.87789, 0.344252, 0.533099, 0.746238, 0.769565, 0.220939, 0.435293, 0.456933, 0.622472, 0.620704, 0.716034, 0.874754, 0.824368, 
13, 0.428975, 0.374193, 0.630253, 0.752653, 0.358101, 0.161231, 0.467566, 0.490148, 0.733919, 0.0835923, 0.493245, 0.852628, 0.369851, 0.5341, 0.749917, 0.663345, 0.253024, 0.502886, 0.465317, 0.559607, 0.630081, 0.670676, 0.898484, 0.654255, 
13, 0.396328, 0.335102, 0.675657, 0.744504, 0.348901, 0.159831, 0.43304, 0.470774, 0.721374, 0.0915733, 0.631409, 0.812838, 0.372313, 0.475932, 0.781025, 0.701116, 0.216537, 0.415966, 0.484221, 0.519012, 0.667298, 0.694149, 0.898518, 0.708313, 
13, 0.419015, 0.394424, 0.607223, 0.749695, 0.318627, 0.249693, 0.496836, 0.506621, 0.639605, 0.0760775, 0.576761, 0.813877, 0.323982, 0.53849, 0.740565, 0.674699, 0.188066, 0.473764, 0.460851, 0.603669, 0.615902, 0.654395, 0.865362, 0.695025, 
